Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
08/03/2023,ProShares UltraPro Short QQQ,SQQQ,18.2942,18.2096,0.46459,0.0846,247500.55,4527824506.9274
08/02/2023,ProShares UltraPro Short QQQ,SQQQ,18.2096,17.0692,6.68104,1.1404,209050.55,3806726840.6512
08/01/2023,ProShares UltraPro Short QQQ,SQQQ,17.0692,16.9352,0.79125,0.134,229300.55,3913976896.8524
07/31/2023,ProShares UltraPro Short QQQ,SQQQ,16.9352,16.9471,-0.07022,-0.0119,230350.55,3901032583.5544
07/28/2023,ProShares UltraPro Short QQQ,SQQQ,16.9471,17.9298,-5.48082,-0.9827,230850.55,3912247305.0637
07/27/2023,ProShares UltraPro Short QQQ,SQQQ,17.9298,17.7909,0.78074,0.1389,241800.55,4335435447.6006
07/26/2023,ProShares UltraPro Short QQQ,SQQQ,17.7909,17.573,1.23997,0.2179,215200.55,3828611411.6223
07/25/2023,ProShares UltraPro Short QQQ,SQQQ,17.573,17.9596,-2.15261,-0.3866,229900.55,4040042312.431
07/24/2023,ProShares UltraPro Short QQQ,SQQQ,17.9596,18.0298,-0.38936,-0.0702,232050.55,4167535003.9012
07/21/2023,ProShares UltraPro Short QQQ,SQQQ,18.0298,17.874,0.87166,0.1558,236050.55,4255944152.3006
07/20/2023,ProShares UltraPro Short QQQ,SQQQ,17.874,16.7141,6.93965,1.1599,256400.55,4582903377.078
07/19/2023,ProShares UltraPro Short QQQ,SQQQ,16.7141,16.6586,0.33316,0.0555,231050.55,3861801947.6127
07/18/2023,ProShares UltraPro Short QQQ,SQQQ,16.6586,17.068,-2.39864,-0.4094,241950.55,4030557382.2542
07/17/2023,ProShares UltraPro Short QQQ,SQQQ,17.068,17.5593,-2.79795,-0.4913,245700.55,4193616936.196
